example_id                                                                  | status  | run_time        |
./spec/api/private_note_api.spec.rb[1:2:3:2:1]                              | passed  | 0.48603 seconds |
./spec/api/private_note_api.spec.rb[1:2:3:3:1]                              | passed  | 0.45594 seconds |
./spec/api/private_note_api.spec.rb[1:2:3:4:1]                              | passed  | 0.46522 seconds |
./spec/api/private_note_api.spec.rb[1:2:3:5:1]                              | passed  | 0.48806 seconds |
./spec/api/private_note_api.spec.rb[1:2:3:6:1]                              | passed  | 0.48498 seconds |
./spec/api/private_note_api.spec.rb[1:2:4:1]                                | passed  | 0.49155 seconds |
./spec/api/public_api_spec.rb[1:1:1]                                        | passed  | 0.00755 seconds |
./spec/api/reaction_api_spec.rb[1:1:1:1]                                    | passed  | 0.41751 seconds |
./spec/api/reaction_api_spec.rb[1:1:2:1:1:1]                                | passed  | 0.47754 seconds |
./spec/api/reaction_api_spec.rb[1:1:2:1:2:1]                                | passed  | 0.59288 seconds |
./spec/api/reaction_api_spec.rb[1:1:2:2:1:1]                                | passed  | 0.36544 seconds |
./spec/api/reaction_api_spec.rb[1:1:3:1:1]                                  | passed  | 0.25759 seconds |
./spec/api/reaction_api_spec.rb[1:1:4:1:1]                                  | passed  | 2.73 seconds    |
./spec/api/reaction_api_spec.rb[1:1:4:1:2]                                  | passed  | 2.73 seconds    |
./spec/api/reaction_api_spec.rb[1:1:4:1:3]                                  | passed  | 2.66 seconds    |
./spec/api/reaction_api_spec.rb[1:1:4:1:4]                                  | passed  | 2.76 seconds    |
./spec/api/reaction_api_spec.rb[1:1:4:2:1]                                  | passed  | 2.54 seconds    |
./spec/api/reaction_api_spec.rb[1:1:5:1:1]                                  | passed  | 0.98733 seconds |
./spec/api/reaction_api_spec.rb[1:1:5:1:2]                                  | passed  | 1.09 seconds    |
./spec/api/reaction_api_spec.rb[1:1:5:2:1]                                  | passed  | 0.80561 seconds |
./spec/api/reaction_svg_api_spec.rb[1:1:1:1]                                | passed  | 0.1137 seconds  |
./spec/api/report_api_spec.rb[1:1:1:1]                                      | passed  | 3.09 seconds    |
./spec/api/report_api_spec.rb[1:1:2:1:1]                                    | passed  | 2.03 seconds    |
./spec/api/report_api_spec.rb[1:1:2:2:1]                                    | passed  | 2.02 seconds    |
./spec/api/report_api_spec.rb[1:1:2:3:1]                                    | passed  | 2.03 seconds    |
./spec/api/report_api_spec.rb[1:1:2:4:1]                                    | passed  | 2.2 seconds     |
