Onthology ID;Ontology Name;Custom Name;Full Link;Parent
CHMO:0000388;CHMO: angle-resolved photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000388;
CHMO:0000389;CHMO: depth-selective photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000389;
CHMO:0000390;CHMO: photoelectron extended fine structure spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000390;
CHMO:0000391;CHMO: angle-resolved photoelectron extended fine structure spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000391;
CHMO:0000392;CHMO: photoelectron microspectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000392;
CHMO:0000393;CHMO: extreme ultraviolet photoelectron microspectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000393;
CHMO:0000394;CHMO: synchrotron radiation photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000394;
CHMO:0000395;CHMO: angle-resolved synchotron radiation photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000395;
CHMO:0000396;CHMO: constant-final-state spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000396;
CHMO:0000397;CHMO: constant-initial-state spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000397;
CHMO:0000398;CHMO: photoelectron yield spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000398;
CHMO:0000399;CHMO: partial-yield spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000399;
CHMO:0000400;CHMO: resonance-enhanced photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000400;
CHMO:0000401;CHMO: ultraviolet photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000401;
CHMO:0000402;CHMO: angle-resolved ultraviolet photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000402;
CHMO:0000403;CHMO: vacuum ultraviolet photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000403;
CHMO:0000404;CHMO: X-ray photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000404;
CHMO:0000405;CHMO: angle-resolved X-ray photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000405;
CHMO:0000406;CHMO: high-resolution X-ray photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000406;
CHMO:0000407;CHMO: soft X-ray photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000407;
CHMO:0000408;CHMO: high-resolution soft X-ray photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000408;
CHMO:0000409;CHMO: valence-shell photoionisation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000409;
CHMO:0000410;CHMO: zero kinetic energy electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000410;
CHMO:0000700;CHMO: X-ray–ultraviolet photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000700;
CHMO:0002295;CHMO: electron-induced photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002295;
CHMO:0002686;CHMO: photodetachment photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002686;
CHMO:0002696;CHMO: photoelectron spectroscopy of adsorbed xenon;;http://purl.obolibrary.org/obo/CHMO_0002696;
CHMO:0000411;CHMO: secondary electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000411;
CHMO:0000412;CHMO: angle-resolved secondary electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000412;
CHMO:0000413;CHMO: spin-polarised secondary electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000413;
CHMO:0000414;CHMO: gamma-ray spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000414;
CHMO:0000415;CHMO: particle-induced gamma-ray emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000415;
CHMO:0000416;CHMO: gamma-ray scattering spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000416;
CHMO:0000417;CHMO: Mossbauer spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000417;
CHMO:0000418;CHMO: depth-selective Mossbauer spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000418;
CHMO:0002028;CHMO: 129Xe Mossbauer spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002028;
CHMO:0002029;CHMO: 127I Mossbauer spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002029;
CHMO:0002030;CHMO: 57Fe Mossbauer spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002030;
CHMO:0002031;CHMO: 119Sn Mossbauer spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002031;
CHMO:0002032;CHMO: 121Sb Mossbauer spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002032;
CHMO:0002033;CHMO: 125Te Mossbauer spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002033;
CHMO:0002034;CHMO: 151Eu Mossbauer spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002034;
