Ontology ID;Ontology Name;Custom Label;Link;Roles;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001685;mixing;Mixing;http://purl.obolibrary.org/obo/CHMO_0001685;"=class,OBI:0000652(action);=class,PATO:0001018(condition);";;;;;;;;;;;;;;;;;;;;;;;;
AFP:0003749;overhead stirring;Overhead Stirring;http://purl.obolibrary.org/ontologies/process#AFP_0003749;"=type,CHMO:0001685(class);";;;;;;;;;;;;;;;;;;;;;;;;
AFP:0003802;shaking;Shake/Agitate;http://purl.allotrope.org/ontologies/process#AFP_0003802;"=type,CHMO:0001685(class);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001654;ball milling;Ball Mill;http://purl.obolibrary.org/obo/CHMO_0001654;"=type,CHMO:0001685(class);";;;;;;;;;;;;;;;;;;;;;;;;
OBI:0400114;sonicator;Sonicate;http://purl.obolibrary.org/obo/OBI_0400114;"=type,CHMO:0001685(class);";;;;;;;;;;;;;;;;;;;;;;;;
AFP:0000254;vortexing;Vortex;http://purl.allotrope.org/ontologies/process#AFP_0000254;"=type,CHMO:0001685(class);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0002775;magnetic stirring;Magnetic stirring;http://purl.obolibrary.org/obo/CHMO_0002775;"=type,CHMO:0001685(class);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001574;evaporation;Evaporate;http://purl.obolibrary.org/obo/CHMO_0001574;"=class,CPOKIT:0000008(action);";;;;;;;;;;;;;;;;;;;;;;;;
NCIT:C171981;gas exchanger device;Gas Exchange;http://purl.obolibrary.org/obo/NCIT_C171981;"=class,CPOKIT:0000008(action);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:15347;acetone;Acetone;http://purl.obolibrary.org/obo/CHEBI_15347;"=solvent; =mobile phase, CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:15377;water;H2O;http://purl.obolibrary.org/obo/CHEBI_15377;"=solvent; =mobile phase, CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:156265;Deuterated methanol;CD3OD;http://purl.obolibrary.org/obo/CHEBI_156265;"=solvent;";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:15767;dichloromethane;DCM;http://purl.obolibrary.org/obo/CHEBI_15767;"=solvent;";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:16236;ethanol;EtOH;http://purl.obolibrary.org/obo/CHEBI_16236;"=solvent; =mobile phase, CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:16526;carbon dioxide;CO2;http://purl.obolibrary.org/obo/CHEBI_16526;"=solvent; =mobile phase, CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:17741;N,N-dimethylformamide;DMF;http://purl.obolibrary.org/obo/CHEBI_17741;"=solvent; ";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:17790;methanol;MeOH;http://purl.obolibrary.org/obo/CHEBI_17790;"=solvent; =mobile phase, CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:17824;propan-2-ol;iPrOH;http://purl.obolibrary.org/obo/CHEBI_17824;"=solvent; =mobile phase, CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:17997;dinitrogen;N2;http://purl.obolibrary.org/obo/CHEBI_17997;"=mobile phase, CHMO:0001002(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:18276;dihydrogen;H2;http://purl.obolibrary.org/obo/CHEBI_18276;"=mobile phase, CHMO:0001002(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:193038;Deuterated acetonitrile;CD3CN;http://purl.obolibrary.org/obo/CHEBI_193038;"=solvent;";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:193041;Deuterated DMSO;DMSO-d6;http://purl.obolibrary.org/obo/CHEBI_193041;"=solvent;";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:193047;Deuterated oxolane;THF-d8;http://purl.obolibrary.org/obo/CHEBI_193047;"=solvent;";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:26911;oxolane;THF;http://purl.obolibrary.org/obo/CHEBI_26911;"=solvent; =mobile phase, CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:27750;ethyl acetate;EA;http://purl.obolibrary.org/obo/CHEBI_27750;"=solvent; =mobile phase, CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:28262;dimethyl sulfoxide;DMSO;http://purl.obolibrary.org/obo/CHEBI_28262;"=solvent;";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:29005;cyclohexane;cHex;http://purl.obolibrary.org/obo/CHEBI_29005;"=solvent; =mobile phase, CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:30751;formic acid;FA;http://purl.obolibrary.org/obo/CHEBI_30751;"=mobile phase, CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:33681;helium(0);He;http://purl.obolibrary.org/obo/CHEBI_33681;"=mobile phase, CHMO:0001002(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:35255;chloroform;CHCl3;http://purl.obolibrary.org/obo/CHEBI_35255;"=solvent;";;;;;;;;;;;;;;;;;;;;;;;;
CHEBI:38472;acetonitrile;MeCN;http://purl.obolibrary.org/obo/CHEBI_38472;"=solvent;";;;;;;;;;;;;;;;;;;;;;;;;
